coral_id	genotype	treatment	feeding	temp	slurry_vol_ml	symcount_1	symcount_2	symcount_3	sym_average	sym_count_dens_ml	dil_factor	dil_corr_symdens_ml	dil_corr_total_syms	surface_area_cm2	dil_corr_symdens_percm2
A6	AE	unfed_hot	unfed	hot	6	16	14	18	16	160000	1	160000	960000	2.27	422907
A9	AE	unfed_ctrl	unfed	ctrl	6	32	40	42	38	380000	1	380000	2280000	7.51	303595
B1	B	fed_ctrl	fed	ctrl	15	35	56	31	41	406667	1	406667	6100000	30.02	203198
B2	B	fed_hot	fed	hot	20	15	15	14	15	146667	40	5866667	117333333	35.54	3301444
B5	B	unfed_hot	unfed	hot	9	91	82	60	78	776667	3	2330000	20970000	16.26	1289668
B8	B	unfed_ctrl	unfed	ctrl	12	36	55	49	47	466667	20	9333333	112000000	21.79	5139972
C1	C	unfed_hot	unfed	hot	8	52	39	57	49	493333	1	493333	3946667	7.21	547388
C2	C	unfed_ctrl	unfed	ctrl	6	35	58	32	42	416667	10	4166667	25000000	13.02	1920123
C4	C	fed_hot	fed	hot	18	347	315	222	295	2946667	1	2946667	53040000	24.7	2147368
D15	D	unfed_hot	unfed	hot	10	21	18	18	19	190000	20	3800000	38000000	27.72	1370851
D17	D	unfed_ctrl	unfed	ctrl	7	15	15	11	14	136667	10	1366667	9566667	8	1195833
D4	D	fed_hot	fed	hot	10	106	54	37	66	656667	1	656667	6566667	21.31	308150
D9	D	fed_ctrl	fed	ctrl	15	8	41	83	44	440000	1	440000	6600000	24.37	270825
E11	AE	unfed_hot	unfed	hot	6	17	17	17	17	170000	10	1700000	10200000	19.82	514632
E3	AE	fed_ctrl	fed	ctrl	17	40	19	41	33	333333	10	3333333	56666667	20.45	2770986
E8	AE	fed_hot	fed	hot	8	26	26	26	26	260000	10	2600000	19500000	9.25	2108108
G1	G	unfed_ctrl	unfed	ctrl	12	88	94	82	88	880000	9	7920000	95040000	26.57	3576967
G2	G	fed_ctrl	fed	ctrl	20	14	13	32	20	196667	10	1966667	39333333	25.01	1572704
G3	G	unfed_hot	unfed	hot	8	12	7	15	11	113333	10	1133333	9066667	17.25	525604
G6	G	fed_hot	fed	hot	8	45	87	64	65	653333	2	1306667	9800000	14.25	687719
I5	I	unfed_ctrl	unfed	ctrl	15	11	8	18	12	123333	10	1233333	18500000	27.48	673217
I6	I	fed_hot	fed	hot	5	11	21	3	12	116667	10	1166667	5833333	14.39	405374
I9	I	unfed_hot	unfed	hot	10	14	18	11	14	143333	20	2866667	28666667	14.25	2011696
J13	J	fed_hot	fed	hot	5	21	22	20	21	210000	40	8400000	42000000	10.55	3981043
J15	J	fed_ctrl	fed	ctrl	8	40	30	27	32	323333	40	12933333	103466667	11.94	8665550
J6	J	unfed_ctrl	unfed	ctrl	10	209	70	114	131	1310000	1	1310000	13100000	27.84	470546
J9	J	unfed_hot	unfed	hot	8	11	17	9	12	123333	10	1233333	9866667	7.03	1403509
L3	L	fed_ctrl	fed	ctrl	7	17	11	18	15	153333	20	3066667	21466667	16.24	1321839
L4	L	unfed_ctrl	unfed	ctrl	8	16	19	16	17	170000	10	1700000	12750000	15.54	820463
L5	L	fed_hot	fed	hot	8	19	18	18	18	183333	10	1833333	14666667	6.99	2098236
L6	L	unfed_hot	unfed	hot	9	26	17	25	23	226667	5	1133333	10200000	20	510000
M1	M	unfed_hot	unfed	hot	6	6	2	1	3	30000	1	30000	180000	16.46	10936
M4	M	unfed_ctrl	unfed	ctrl	15	63	46	75	61	613333	10	6133333	92000000	21.69	4241586
M5	M	fed_ctrl	fed	ctrl	8	28	36	34	33	326667	10	3266667	24500000	15.62	1568502
M7	M	fed_hot	fed	hot	8	124	150	149	141	1410000	1	1410000	11280000	24.81	454655
N14	N	fed_hot	fed	hot	9	42	37	40	40	396667	10	3966667	35700000	11.44	3120629
N2	N	unfed_hot	unfed	hot	8	2	5	8	5	50000	1	50000	400000	11.02	36298
N3	N	fed_ctrl	fed	ctrl	13	21	20	26	22	223333	40	8933333	111666667	24.49	4559684
N4	N	unfed_ctrl	unfed	ctrl	8	23	12	14	16	163333	10	1633333	12250000	15.2	8059211
O11	O	fed_hot	fed	hot	6	53	41	48	47	473333	1	473333	2840000	2.56	1109375
O3	O	fed_ctrl 	fed	ctrl 	10	33	26	50	36	363333	10	3633333	36333333	18.45	1969286
O5	O	unfed_ctrl	unfed	ctrl	6	25	25	13	21	210000	10	2100000	12600000	3.3	3818182
Q1	Q	fed_ctrl	fed	ctrl	8	11	12	11	11	113333	10	1133333	8500000	7.12	1193820
Q10	Q	unfed_ctrl	unfed	ctrl	13	75	54	73	67	673333	10	6733333	84166667	18.26	4609346
Q5	Q	unfed_hot	unfed	hot	6	8	5	2	5	50000	10	500000	3000000	1.5	2000000
Q6	Q	fed_hot	fed	hot	6	18	10	7	12	116667	1	116667	700000	8.61	81301
R11	R	unfed_ctrl	unfed	ctrl	6	73	61	96	77	766667	10	7666667	42166667	16.47	2560210
R2	R	fed_hot	fed	hot	7	14	10	14	13	126667	10	1266667	8866667	12.3	720867
R3	R	unfed_hot	unfed	hot	18	144	147	191	161	1606667	1	1606667	28116667	22.88	1228875
R7	R	fed_ctrl	fed	ctrl	10	101	84	87	91	906667	10	9066667	90666667	13.94	6504426
