"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
156 0.855957865995781 2 16 "GO:0000002" "mitochondrial genome maintenance" 0.956732513794279
1521 0.142212798969161 1 11 "GO:0000003" "reproduction" 0.438327120110428
7 0.996253451415122 6 6 "GO:0000012" "single strand break repair" 0.999967395578042
-253 0.536799307206815 6 71 "GO:0000018" "regulation of DNA recombination" 0.798562571437685
307 0.729387786807632 2 15 "GO:0000019" "regulation of mitotic recombination" 0.902191180399088
1020 0.116395360665641 3 28 "GO:0000027" "ribosomal large subunit assembly" 0.396365951545989
3407 0.00503718876730605 2 8 "GO:0000028" "ribosomal small subunit assembly" 0.0670442730296369
-1655 0.0313775247284572 2 20 "GO:0000038" "very long-chain fatty acid metabolic process" 0.193045318153594
58 0.876852603386153 2 86 "GO:0000041" "transition metal ion transport" 0.959584727642663
726 0.139683362425467 3 49 "GO:0000045;GO:1905037" "autophagosome organization" 0.434247811638637
979 0.323658415107773 2 12 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.645185966787042
3141 0.0251418555699334 2 6 "GO:0000052" "citrulline metabolic process" 0.171872884534921
2497 0.0049003454401763 4 15 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "ribosome localization" 0.0655924425066091
1724 0.261910989391263 3 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.585091105546233
1140 0.380287959847398 -1 7 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.698112663231155
778 0.29950139294738 5 21 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.622862712005445
735 0.0290664317082652 3 105 "GO:0000075" "cell cycle checkpoint" 0.185440119786842
2106 0.0219015011901565 5 14 "GO:0000076" "DNA replication checkpoint" 0.159823374656881
371 0.36442134803391 7 71 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.685466110453911
-33 0.941488483119199 4 58 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.984292936569231
1173 0.280400364820355 3 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.603735881705401
-103 0.817240244036978 2 60 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.938158443409796
-580 0.191987833310236 2 60 "GO:0000096" "sulfur amino acid metabolic process" 0.504528649828067
-259 0.61761139933896 3 44 "GO:0000097;GO:0009086;GO:0006555" "sulfur amino acid biosynthetic process" 0.851333400591288
1888 0.178424480355336 3 6 "GO:0000098" "sulfur amino acid catabolic process" 0.486234180073734
2323 0.0249703477104437 4 11 "GO:0000105" "histidine biosynthetic process" 0.171597680142655
-37 0.850198662740353 3 314 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.953069675313919
927 0.228061819997254 2 20 "GO:0000154;GO:0031167" "rRNA modification" 0.550553009665597
-696 0.0427411120922922 2 101 "GO:0000165" "MAPK cascade" 0.225896817266309
28 0.958139818222376 8 41 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.988211629395933
654 0.640920816511538 6 6 "GO:0000185" "activation of MAPKKK activity" 0.863558587645562
-1159 0.131541237333177 8 20 "GO:0000186" "activation of MAPKK activity" 0.421079094711437
-461 0.243767997577815 6 76 "GO:0000187" "activation of MAPK activity" 0.564886605470905
239 0.87628952071015 2 5 "GO:0000188" "inactivation of MAPK activity" 0.959584727642663
16 0.938517397331877 3 276 "GO:0000209" "protein polyubiquitination" 0.982386952235959
1959 0.0329353591535672 2 14 "GO:0000212" "meiotic spindle organization" 0.196241578815391
-198 0.327831215821285 4 297 "GO:0000226" "microtubule cytoskeleton organization" 0.649749368605525
2671 0.0050766611635759 8 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0671996707456958
43 0.960299738837125 3 16 "GO:0000245" "spliceosomal complex assembly" 0.989406076320413
680 0.47576874842115 2 13 "GO:0000266" "mitochondrial fission" 0.76341734391098
-2072 0.00174314010640021 3 27 "GO:0000272" "polysaccharide catabolic process" 0.0318005289681119
834 0.0190552424392442 3 94 "GO:0000278" "mitotic cell cycle" 0.148474251049453
375 0.33296159909884 4 79 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.653611780532621
1783 0.203655635554483 8 6 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.519585787254283
155 0.875892900671494 4 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.959584727642663
1432 0.166923543026545 6 11 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.470909624806568
1078 0.17180405403788 7 19 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.47807665213721
6 0.9856685623166 4 102 "GO:0000302" "response to reactive oxygen species" 0.995326178854084
3840 0.0031108892665935 7 7 "GO:0000338" "protein deneddylation" 0.0473380702696443
