"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-641 0.454886674018964 2 16 "GO:0000002" "mitochondrial genome maintenance" 0.794035933562645
2083 0.0441289553508925 1 11 "GO:0000003" "reproduction" 0.326099778817436
-843 0.547122229165523 4 6 "GO:0000012" "single strand break repair" 0.846541027242526
252 0.536821247502439 3 71 "GO:0000018" "regulation of DNA recombination" 0.839779076711731
408 0.645530237989549 4 15 "GO:0000019" "regulation of mitotic recombination" 0.89170702366353
276 0.670213668477148 4 28 "GO:0000027" "ribosomal large subunit assembly" 0.897987531431825
-1047 0.388223903893212 4 8 "GO:0000028" "ribosomal small subunit assembly" 0.750362104471743
-1964 0.0105311628201027 2 20 "GO:0000038" "very long-chain fatty acid metabolic process" 0.17285002309245
-558 0.132651171747963 3 86 "GO:0000041" "transition metal ion transport" 0.509494080214585
-333 0.498063938885088 3 49 "GO:0000045;GO:1905037" "autophagosome organization" 0.821475310226731
163 0.869283460609673 2 12 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.970386402501461
1941 0.165892481664058 2 6 "GO:0000052" "citrulline metabolic process" 0.554970814455769
2792 0.00163205205497546 3 15 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0000055" "ribosomal subunit export from nucleus" 0.0624437790876711
3054 0.0465238701618123 2 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.334939047906234
-1184 0.361266170234796 -1 7 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.734596795283268
992 0.185453335902602 2 21 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.575221731503674
1223 0.000276275494186625 2 105 "GO:0000075" "cell cycle checkpoint" 0.0198869170407626
3427 0.000186865541120688 7 14 "GO:0000076" "DNA replication checkpoint" 0.0147218902146249
1030 0.0116687783127276 4 71 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.182856948186818
615 0.173061657293487 2 58 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.564038233551292
1931 0.0752477285759657 3 10 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.407361635491916
-289 0.515360570062884 2 60 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.828997865351583
297 0.503879347161517 2 60 "GO:0000096" "sulfur amino acid metabolic process" 0.823622339655918
471 0.363626276138196 2 44 "GO:0000097;GO:0009086;GO:0006555" "sulfur amino acid biosynthetic process" 0.735813958606701
