genes,log2FoldChange
Oarb_100012_c0_g1,0.621231962047878
Oarb_100023_c0_g1,0.823571644107728
Oarb_100054_c2_g1,0.172793453241557
Oarb_100054_c2_g2,0.323815787935304
Oarb_100054_c2_g4,-0.173473168293374
Oarb_100054_c2_g6,0.249902504163369
Oarb_100059_c0_g1,0.000806465882203919
Oarb_100078_c0_g1,2.21331760861573
Oarb_100115_c0_g1,0.128159361239765
Oarb_100172_c0_g1,-0.637342592011863
Oarb_100181_c1_g1,0.255719167200741
Oarb_100188_c0_g1,0.120530064169249
Oarb_100193_c0_g1,-0.16914202661798
Oarb_100202_c0_g1,0.760487797102492
Oarb_100229_c0_g1,-0.521045360611998
Oarb_100248_c1_g1,0.278216308755917
Oarb_100254_c0_g1,-1.10484723886359
Oarb_100302_c1_g1,1.90501335749259
Oarb_100314_c0_g1,-0.841297853155225
Oarb_100337_c0_g1,-1.04966660694183
Oarb_100378_c0_g1,-0.728521278105845
Oarb_100478_c0_g1,-0.204377339454278
Oarb_100535_c0_g1,0.191302161841078
Oarb_100544_c0_g2,-0.255589527686021
Oarb_100547_c0_g1,0.291997926036865
Oarb_100562_c0_g1,-1.61422197306562
Oarb_100576_c0_g1,2.40265087221553
Oarb_100625_c1_g1,-0.944852711065368
Oarb_100625_c1_g2,0.138970741124562
Oarb_100638_c1_g1,0.0276942080979946
Oarb_100649_c0_g1,-0.114100505600909
Oarb_100665_c2_g1,0.523958874091446
Oarb_100674_c0_g1,-0.0329994149725918
Oarb_100696_c0_g1,-0.274806730711715
Oarb_100698_c0_g1,0.837236759558838
Oarb_100698_c1_g1,-0.0626910394648078
Oarb_100700_c1_g1,-0.333088027266868
Oarb_100702_c0_g1,1.29070100144993
Oarb_100719_c3_g1,-0.396686210181038
Oarb_100728_c0_g1,-1.01717995137239
Oarb_100735_c0_g1,-0.370669276288567
Oarb_10073_c0_g1,0.728395497996304
Oarb_100790_c1_g2,0.747604899906636
Oarb_100800_c0_g1,-0.535616457643893
Oarb_100813_c1_g1,0.505899082762613
Oarb_100828_c1_g1,1.05663968419543
Oarb_100839_c1_g1,1.89254195608744
Oarb_100844_c1_g1,-0.671083230093905
Oarb_100850_c0_g1,-0.530236792798361
Oarb_100857_c0_g3,-0.588562960954002
Oarb_100866_c2_g1,0.679205868170919
Oarb_100868_c0_g1,0.785875149937676
Oarb_100872_c2_g1,0.0779108716064818
Oarb_100875_c0_g1,0.408114278299912
Oarb_100884_c0_g1,-1.58475225343516
Oarb_100947_c0_g1,-0.228044213535268
Oarb_100963_c0_g1,-0.642722070115248
Oarb_100990_c1_g1,0.183198508938228
Oarb_100990_c1_g2,-0.527673689074892
Oarb_100998_c0_g1,0.764006948323169
Oarb_100998_c1_g1,1.06728921346308
Oarb_101066_c0_g1,-0.967263144311134
Oarb_101069_c1_g1,-0.641412612734254
Oarb_101077_c0_g1,0.713651427138817
Oarb_101085_c1_g2,-0.805227275252435
Oarb_101110_c0_g1,-0.587311265231964
Oarb_101111_c0_g2,1.88570090363073
Oarb_101117_c2_g1,-0.12920196974067
Oarb_101119_c0_g1,-0.155887393008105
Oarb_101124_c0_g1,-0.45767185510092
Oarb_101132_c1_g1,1.55564593784761
Oarb_101141_c0_g1,-1.51244442712528
Oarb_101155_c1_g1,-0.322274660507446
Oarb_101155_c2_g1,0.94570839254734
Oarb_101157_c0_g2,0.331838920285514
Oarb_101161_c1_g1,-1.93772394218943
Oarb_101171_c0_g1,2.60828096287816
Oarb_101185_c0_g1,2.10073768174132
Oarb_101196_c0_g1,-0.116557621479937
Oarb_101202_c0_g1,-1.70550609181729
Oarb_101222_c0_g1,0.441845720125334
Oarb_101223_c0_g1,-0.530772962314345
Oarb_101227_c2_g1,-2.48593416275126
Oarb_101227_c3_g1,1.10325020877319
Oarb_101228_c1_g1,0.0387657497462909
Oarb_101228_c1_g2,0.734576271885726
Oarb_101248_c1_g1,0.931758919420911
Oarb_101268_c0_g1,0.373618536882014
Oarb_101279_c4_g1,0.588749560059396
Oarb_101296_c0_g1,1.6231853432437
Oarb_101298_c0_g1,1.57715653534359
Oarb_101302_c0_g1,-1.13588261681452
Oarb_101306_c0_g1,2.58370410371107
Oarb_101307_c0_g2,0.551273706077856
Oarb_101334_c2_g1,0.156158913655352
Oarb_101373_c0_g1,0.331561050421638
Oarb_101388_c0_g1,0.104485082807219
Oarb_101388_c0_g2,-0.703841104364261
Oarb_101424_c0_g1,-0.000555744298770991
Oarb_101426_c0_g1,-1.68213910322687
Oarb_101433_c2_g2,0.217934304758564
Oarb_101440_c0_g2,-0.820537039755015
Oarb_101442_c3_g1,1.11279417953528
Oarb_101442_c3_g3,0.594135989699941
Oarb_101447_c0_g1,-0.355816434912065
Oarb_101476_c0_g1,-2.3540057216086
Oarb_101513_c2_g1,0.985274407050929
Oarb_101571_c1_g1,-0.765669209775126
Oarb_101575_c0_g1,1.0463231281418
Oarb_101584_c0_g1,0.320411674407831
Oarb_101614_c2_g1,-0.764117074347599
Oarb_101615_c0_g2,0.362519769690467
Oarb_101630_c1_g1,0.688308659365898
Oarb_101658_c3_g2,0.710368728879582
Oarb_101659_c3_g1,-0.274274394161363
Oarb_101671_c3_g1,0.872900612170236
Oarb_101684_c2_g1,1.00322639074268
Oarb_101738_c4_g2,0.392126166916168
Oarb_101749_c0_g1,0.838846623007015
Oarb_101749_c0_g2,0.737901600027235
Oarb_101762_c0_g1,1.37529823833088
Oarb_101763_c0_g1,-0.952370469414033
Oarb_101765_c1_g1,0.0368676513718735
Oarb_101770_c0_g1,-0.118680085758256
Oarb_101792_c1_g1,2.79051237867499
Oarb_101810_c0_g2,-0.218802288161589
Oarb_101818_c4_g2,0.49566449119343
Oarb_101833_c0_g1,-2.56122582641555
Oarb_101835_c0_g1,-0.193036619339428
Oarb_101870_c0_g1,-1.5102516565143
Oarb_101883_c0_g1,-0.515743377798314
Oarb_101892_c0_g3,-1.04609489073478
Oarb_101895_c0_g1,1.14549498786933
Oarb_101917_c3_g1,0.0146161267692611
Oarb_101938_c0_g2,-0.45079161233577
Oarb_101940_c0_g2,-0.140195418700923
Oarb_101945_c0_g1,-0.0734968275588453
Oarb_101955_c0_g2,0.131625307037254
Oarb_101962_c0_g1,-0.836564865084023
Oarb_101978_c1_g1,-0.648153372748341
Oarb_101980_c0_g1,0
Oarb_101989_c0_g1,0.140519281614833
Oarb_102055_c0_g1,-0.352855178008972
Oarb_102060_c2_g1,-1.15247743126018
Oarb_102064_c1_g1,0.499254647243081
Oarb_102070_c1_g1,0.976514373795742
Oarb_102097_c0_g2,-0.814098594101328
Oarb_102120_c1_g1,-0.45006915155744
Oarb_102123_c0_g1,0.963291042115466
Oarb_102132_c3_g1,-0.676568167066813
Oarb_102142_c0_g1,0.074919780691436
Oarb_102145_c0_g2,0.487037565952174
Oarb_102151_c0_g1,-0.477038100469822
Oarb_102177_c0_g1,-0.948892042898625
Oarb_102177_c0_g2,0.69099607894563
Oarb_102183_c3_g1,-0.49521321043777
Oarb_102209_c1_g1,-0.419031958124931
Oarb_102217_c0_g1,0.703225837927733
Oarb_102234_c3_g3,0.821529540743423
Oarb_102244_c0_g2,-1.10550821458767
Oarb_102246_c0_g1,-0.82946526923175
Oarb_102252_c0_g1,-2.50808415829205
Oarb_102263_c0_g1,0.881507016681679
Oarb_102270_c0_g1,-0.654861441467238
Oarb_102277_c1_g1,0.553706421872308
Oarb_102283_c6_g1,-0.895532758343476
Oarb_102289_c0_g1,1.90330782756749
Oarb_102289_c0_g2,-3.73242635283338
Oarb_102291_c0_g1,0.18712354950354
Oarb_102307_c0_g1,0.728735865604964
Oarb_102308_c0_g1,-2.06872583186912
Oarb_102317_c0_g2,-0.186214982446641
Oarb_102331_c0_g1,-0.556155219729818
Oarb_102335_c0_g1,-1.89775962448307
Oarb_102348_c0_g3,-0.0791575752337541
Oarb_102370_c0_g1,-1.1174133725772
Oarb_102380_c0_g1,-1.59425637373871
Oarb_102387_c0_g1,-0.371850502419239
Oarb_102394_c1_g1,2.05881516867106
Oarb_102401_c0_g1,-1.66240898435518
Oarb_102404_c2_g2,1.99667096002775
Oarb_102426_c0_g1,0.408389554064477
Oarb_102432_c0_g1,-0.0402375755735234
Oarb_102459_c2_g1,0.269446374799713
Oarb_102475_c0_g1,1.58938605629564
Oarb_102476_c0_g1,0.50242142980809
Oarb_102492_c0_g1,-2.38376012257738
Oarb_102495_c0_g2,1.40196179588415
Oarb_102498_c0_g1,-0.9711154238155
Oarb_102531_c2_g1,0.208262753827837
Oarb_102538_c0_g5,2.35744279331739
Oarb_102546_c0_g1,0.130135695907765
Oarb_102559_c1_g1,0.638950492306744
Oarb_102562_c5_g1,-0.425894007733056
Oarb_102569_c0_g1,-0.904226769998021
Oarb_102570_c0_g1,-1.83967780967003
Oarb_102572_c1_g1,1.46782833782795
Oarb_102578_c6_g1,-0.317290757493078
Oarb_102592_c0_g2,0.0534370010527481
Oarb_102596_c5_g1,0.944688032855871
Oarb_102597_c2_g3,0.0400436951446081
Oarb_102607_c4_g1,0.733564270332254
Oarb_102610_c5_g1,1.14648281578694
Oarb_102634_c1_g1,-0.233604125409816
Oarb_102648_c3_g2,0.504547772765597
Oarb_102650_c3_g3,1.61525687994811
Oarb_102651_c3_g1,0.0718568429516437
Oarb_102651_c3_g2,1.58564584626136
Oarb_102651_c4_g1,-0.682648581337782
Oarb_102660_c1_g2,0.155780813773462
Oarb_102665_c1_g1,1.80885931855059
Oarb_102666_c2_g1,-0.0526164091400581
Oarb_102680_c0_g1,0.665897424338085
Oarb_102680_c1_g3,1.01450868601587
Oarb_102682_c5_g1,0.32798789897443
Oarb_102703_c0_g1,0.637623925516765
Oarb_102714_c0_g1,-0.469255726797609
Oarb_102718_c2_g1,1.6474694319884
Oarb_102718_c2_g4,0.880143324401481
Oarb_102720_c1_g1,0.144618031988999
Oarb_102742_c0_g1,-0.558750095556228
Oarb_102749_c3_g1,0.207907054144114
Oarb_102755_c0_g1,0.177871837834259
Oarb_102756_c3_g4,-0.754088592016135
Oarb_102767_c0_g1,0.659961037490603
Oarb_102785_c8_g1,-0.638102934987806
Oarb_102810_c1_g2,0.112385543535118
Oarb_102823_c3_g1,0.987870069577319
Oarb_102827_c0_g1,1.69127970538871
Oarb_102833_c4_g1,-0.341680718738436
Oarb_102846_c0_g1,0.953784437668046
Oarb_102850_c0_g1,-1.00680945841189
Oarb_102862_c7_g1,-0.181905208197457
Oarb_102876_c3_g1,0.32073041552938
Oarb_102892_c8_g1,1.30680935434188
Oarb_102899_c1_g2,-0.22042169070814
Oarb_102900_c0_g1,-0.115839745176445
Oarb_102954_c4_g1,0.843500906322436
Oarb_102957_c6_g2,0.10788373971417
Oarb_102966_c2_g1,0.199310767989056
Oarb_102972_c7_g2,-1.15185630986675
Oarb_102977_c0_g1,0.719777107419807
Oarb_102983_c0_g1,-0.118600462319302
Oarb_102990_c2_g1,-0.0571629047490896
Oarb_102995_c0_g1,-0.388488100373851
Oarb_103009_c1_g1,0.219693041234775
Oarb_103010_c1_g1,-0.293642920402587
Oarb_103011_c7_g3,0.368051076413605
Oarb_103012_c4_g1,0.873938010133499
Oarb_103012_c7_g2,0.135068266921663
Oarb_103035_c3_g2,-1.24091950627261
Oarb_103050_c0_g1,-0.354962628492362
Oarb_103055_c2_g1,-1.76062315592185
Oarb_103067_c6_g2,0.171745874381079
Oarb_103068_c1_g1,0.028745416399232
Oarb_103074_c1_g2,0.740463619361083
Oarb_103078_c1_g1,1.39818885548191
Oarb_103082_c1_g1,-0.209807243831982
Oarb_103103_c0_g1,-3.18448440990118
Oarb_103103_c0_g2,-1.22737714794195
Oarb_103115_c0_g1,-2.19425073058091
Oarb_103119_c1_g1,0.275458375529419
Oarb_103122_c1_g2,-0.517198666569818
Oarb_103124_c2_g1,0.760872524917569
Oarb_103126_c0_g1,0.204274728184078
Oarb_103145_c1_g1,0.272279084160407
Oarb_103153_c0_g2,-1.5612777648055
Oarb_103159_c0_g1,0.844501126968851
Oarb_103166_c2_g1,1.20506751224643
Oarb_103175_c0_g3,0.465304383728309
Oarb_103179_c4_g1,-0.242438584672507
Oarb_103183_c4_g1,0.0969460362615891
Oarb_103186_c3_g1,-0.760421363017399
Oarb_103203_c2_g2,0.301425001590881
Oarb_103214_c2_g1,0.56273542679146
Oarb_103218_c1_g1,0.519671446295466
Oarb_103223_c6_g2,-0.701243990964691
Oarb_103237_c2_g1,0.160180226282523
Oarb_103246_c6_g1,0.145075458699578
Oarb_103247_c3_g1,0.244054914237581
Oarb_103258_c2_g2,-0.705574523561822
Oarb_103275_c2_g3,0.249151247702853
Oarb_103277_c2_g1,0.539875160573284
Oarb_103290_c2_g3,2.97697942643724
Oarb_103298_c0_g1,-0.664731164869082
Oarb_103299_c6_g1,-2.13066735146494
Oarb_103317_c1_g1,-0.088361167484634
Oarb_103320_c1_g2,0.219551505683057
Oarb_103327_c0_g1,0.730199967127222
Oarb_103336_c5_g2,-0.374015463108494
Oarb_103347_c6_g3,0.484104524645759
Oarb_103352_c4_g1,0.945071436867178
Oarb_103352_c4_g3,-0.718654701139976
Oarb_103355_c0_g1,1.07121677719361
Oarb_103372_c0_g1,-0.458649236631657
Oarb_103373_c0_g1,-0.123007279401268
Oarb_103379_c2_g1,-0.3637920746797
Oarb_103388_c6_g1,-1.8956675740599
Oarb_103394_c0_g1,-0.419003230644985
Oarb_103397_c4_g1,0.331129688186027
Oarb_103419_c7_g1,0.950748685983099
Oarb_103428_c2_g4,1.91287184206571
Oarb_103430_c3_g1,0.97420100052127
Oarb_103456_c0_g1,-0.249393298086107
Oarb_103462_c1_g6,0.587985989432809
Oarb_103463_c6_g1,0.462289258571568
Oarb_103466_c6_g1,0.647887891364329
Oarb_103477_c4_g1,-1.30305068925829
Oarb_103477_c4_g2,0.197730454847199
Oarb_103480_c0_g3,-0.623559378126463
Oarb_103485_c5_g1,-0.645590747549137
Oarb_103488_c0_g3,-0.522317518205433
Oarb_103492_c1_g1,-0.499797085358367
Oarb_103499_c7_g1,0.0899754163602173
Oarb_103503_c0_g1,0.493808580574747
Oarb_103505_c1_g1,0.512597597384946
Oarb_103505_c2_g1,-0.599167770358135
Oarb_103514_c0_g1,0.602535773744041
Oarb_103516_c6_g1,0.215638590147719
Oarb_103520_c1_g3,1.21623430735947
Oarb_103541_c5_g4,20.203924592575
Oarb_103551_c0_g1,-1.52839844404879
Oarb_103552_c1_g2,-0.219121460983644
Oarb_103558_c1_g1,-1.17614511814494
Oarb_103558_c2_g1,0.823603104922459
Oarb_103563_c7_g2,0.243551343008609
Oarb_103570_c6_g1,-0.825099023323109
Oarb_103576_c3_g1,-0.119431838099757
Oarb_103579_c0_g2,-0.376210115274178
Oarb_103587_c4_g1,1.42996081101591
Oarb_103597_c3_g1,-0.39950766065186
Oarb_103600_c1_g1,0.318414847860663
Oarb_103612_c5_g1,1.8650021478838
Oarb_103620_c4_g4,-1.59399475390981
Oarb_103632_c1_g3,-0.91494059399353
Oarb_103633_c1_g1,0.364655895603951
Oarb_103649_c0_g1,2.17265520261676
Oarb_103658_c0_g1,1.29038731226277
Oarb_103669_c0_g1,1.85982212377688
Oarb_103672_c5_g1,-0.24025091177304
Oarb_103679_c7_g2,1.73264402255544
Oarb_103682_c0_g1,0.0147951399544832
Oarb_103682_c0_g3,1.57425578836894
Oarb_103684_c0_g1,-1.19829229533314
Oarb_103691_c3_g1,-0.3164490499724
Oarb_103701_c7_g4,-0.841735043367192
Oarb_103712_c1_g1,1.12190189391658
Oarb_103713_c1_g1,-0.186276802892796
Oarb_103717_c2_g1,-0.534803683018603
Oarb_103725_c4_g1,0.691405647550813
Oarb_103731_c0_g1,0.277901731098371
Oarb_103750_c2_g3,-0.672252879237635
Oarb_103750_c4_g1,-1.03349081823025
Oarb_103759_c1_g1,-0.938224167175007
Oarb_103761_c1_g1,-0.0498246325721486
Oarb_103765_c4_g1,-0.353465589249119
Oarb_103770_c0_g1,-1.62412305810241
Oarb_103775_c1_g1,0.761352878811088
