genes,signedlogP
Oarb_100012_c0_g1,-0.268195834237661
Oarb_100023_c0_g1,1.1982206946703
Oarb_100054_c2_g1,-3.93416006694382
Oarb_100054_c2_g2,-2.59702641493969
Oarb_100054_c2_g4,-2.29911806482623
Oarb_100054_c2_g6,-2.15722048909255
Oarb_100059_c0_g1,0.350790542648964
Oarb_100078_c0_g1,-2.33218182694841
Oarb_100115_c0_g1,-0.412726085088457
Oarb_100172_c0_g1,-1.96851925012933
Oarb_100181_c1_g1,0.291708153487591
Oarb_100188_c0_g1,-0.725853152437549
Oarb_100193_c0_g1,-3.21184337388313
Oarb_100202_c0_g1,-0.48578596350719
Oarb_100229_c0_g1,-1.21273803130711
Oarb_100248_c1_g1,-0.390949529784028
Oarb_100254_c0_g1,0.397325666360755
Oarb_100302_c1_g1,-0.339527182230164
Oarb_100314_c0_g1,0.373798719554183
Oarb_100337_c0_g1,0.236920097395278
Oarb_100378_c0_g1,-0.571701023975614
Oarb_100478_c0_g1,0.176045570317322
Oarb_100535_c0_g1,0.847918868348924
Oarb_100544_c0_g2,-0.466534880537381
Oarb_100547_c0_g1,0.00241782601899053
Oarb_100562_c0_g1,-0.212065756500378
Oarb_100576_c0_g1,-0.189443848941844
Oarb_100625_c1_g1,-1.07293857555523
Oarb_100625_c1_g2,0.313055413507178
Oarb_100638_c1_g1,0.0937300076731665
Oarb_100649_c0_g1,2.25115956281744
Oarb_100665_c2_g1,-0.250762113224525
Oarb_100674_c0_g1,0.484081930417916
Oarb_100696_c0_g1,-1.10910822647335
Oarb_100698_c0_g1,-1.30738707628015
Oarb_100698_c1_g1,-3.02261367045504
Oarb_100700_c1_g1,0.179987049203361
Oarb_100702_c0_g1,-2.9992305370824
Oarb_100719_c3_g1,0.669407310963424
Oarb_100728_c0_g1,-0.209618955896083
Oarb_100735_c0_g1,-3.19655262175813
Oarb_10073_c0_g1,2.82741082255263
Oarb_100790_c1_g2,-0.97618642305376
Oarb_100800_c0_g1,0.0870060557304653
Oarb_100813_c1_g1,0.617333571342991
Oarb_100828_c1_g1,0.286450841811106
Oarb_100839_c1_g1,-0.522806171491679
Oarb_100844_c1_g1,0.919451202905161
Oarb_100850_c0_g1,-0.41660396374491
Oarb_100857_c0_g3,0.209226124476464
Oarb_100866_c2_g1,0.0657499406151193
Oarb_100868_c0_g1,-0.596484326206947
Oarb_100872_c2_g1,-0.998202947764133
Oarb_100875_c0_g1,-0.0404615803845538
Oarb_100884_c0_g1,0.455861347387181
Oarb_100947_c0_g1,-0.354370127620575
Oarb_100963_c0_g1,0.0861048900143428
Oarb_100990_c1_g1,0.0105497770194076
Oarb_100990_c1_g2,-0.0658772205326015
Oarb_100998_c0_g1,-3.22474031181704
Oarb_100998_c1_g1,-1.03916506009777
Oarb_101066_c0_g1,-0.207318463996571
Oarb_101069_c1_g1,-0.24016286279337
Oarb_101077_c0_g1,-0.374660205539792
Oarb_101085_c1_g2,0.588411482249504
Oarb_101110_c0_g1,-9.5027629484311
Oarb_101111_c0_g2,0.329195282011063
Oarb_101117_c2_g1,-1.01155487677526
Oarb_101119_c0_g1,-0.337854704879595
Oarb_101124_c0_g1,-0.306937044874195
Oarb_101132_c1_g1,0.791144903114504
Oarb_101141_c0_g1,0.138599475710974
Oarb_101155_c1_g1,1.43441526600584
Oarb_101155_c2_g1,-0.507498132027471
Oarb_101157_c0_g2,-0.0692380438869376
Oarb_101161_c1_g1,0.0428071966865247
Oarb_101171_c0_g1,-0.155249191240933
Oarb_101185_c0_g1,0.910257941646272
Oarb_101196_c0_g1,0.455770193096014
Oarb_101202_c0_g1,-1.64271218845172
Oarb_101222_c0_g1,-0.169915961070467
Oarb_101223_c0_g1,-1.25372417520525
Oarb_101227_c2_g1,-0.0643986143360577
Oarb_101227_c3_g1,-1.62462484531871
Oarb_101228_c1_g1,-0.296438084554921
Oarb_101228_c1_g2,-0.255536362064525
Oarb_101248_c1_g1,-1.45356838804047
Oarb_101268_c0_g1,-2.4213081785038
Oarb_101279_c4_g1,0.0207035774605736
Oarb_101296_c0_g1,0.492262649672079
Oarb_101298_c0_g1,0.932331888045878
Oarb_101302_c0_g1,1.43681851489116
Oarb_101306_c0_g1,0.101387102136279
Oarb_101307_c0_g2,-0.000978280363021776
Oarb_101334_c2_g1,-0.235301840845423
Oarb_101373_c0_g1,-0.66468898918691
Oarb_101388_c0_g1,0.44402622961332
Oarb_101388_c0_g2,1.308781135616
Oarb_101424_c0_g1,0.0682699767624702
Oarb_101426_c0_g1,0.449693868582525
Oarb_101433_c2_g2,0.164780130095511
Oarb_101440_c0_g2,0.431377615528744
Oarb_101442_c3_g1,-0.147269959881678
