coral_id	genotype	frag	feeding	temp	treatment
L3	L	3	fed	ctrl	fed_ctrl
I9	I	9	unfed	hot	unfed_hot
E8	E	8	fed	hot	fed_hot
A6	A	6	unfed	hot	unfed_hot
D9	D	9	fed	ctrl	fed_ctrl
L6	L	6	unfed	hot	unfed_hot
A9	A	9	unfed	ctrl	unfed_ctrl
O5	O	5	unfed	ctrl	unfed_ctrl
N3	N	3	fed	ctrl	fed_ctrl
I6	I	6	fed	hot	fed_hot
G2	G	2	fed	ctrl	fed_ctrl
Q10	Q	10	unfed	ctrl	unfed_ctrl
R3	R	3	unfed	hot	unfed_hot
C1	C	1	unfed	hot	unfed_hot
Q5	Q	5	unfed	hot	unfed_hot
D4	D	4	fed	hot	fed_hot
D15	D	15	unfed	hot	unfed_hot
R11	R	11	unfed	ctrl	unfed_ctrl
G1	G	1	unfed	ctrl	unfed_ctrl
O11	O	11	fed	hot	fed_hot
E3	E	3	fed	ctrl	fed_ctrl
G3	G	3	unfed	hot	unfed_hot
C2	C	2	unfed	ctrl	unfed_ctrl
C4	C	4	fed	hot	fed_hot
L4	L	4	unfed	ctrl	unfed_ctrl
M4	M	4	unfed	ctrl	unfed_ctrl
J6	J	6	unfed	ctrl	unfed_ctrl
B5	B	5	unfed	hot	unfed_hot
Q6	Q	6	fed	hot	fed_hot
D17	D	17	unfed	ctrl	unfed_ctrl
R7	R	7	fed	ctrl	fed_ctrl
O3	O	3	fed	ctrl	fed_ctrl
M5	M	5	fed	ctrl	fed_ctrl
R2	R	2	fed	hot	fed_hot
M7	M	7	fed	hot	fed_hot
L5	L	5	fed	hot	fed_hot
I5	I	5	unfed	ctrl	unfed_ctrl
J15	J	15	fed	ctrl	fed_ctrl
B2	B	2	fed	hot	fed_hot
M1	M	1	unfed	hot	unfed_hot
N4	N	4	unfed	ctrl	unfed_ctrl
Q1	Q	1	fed	ctrl	fed_ctrl
J9	J	9	unfed	hot	unfed_hot
B1	B	1	fed	ctrl	fed_ctrl
N14	N	14	fed	hot	fed_hot
B8	B	8	unfed	ctrl	unfed_ctrl
J13	J	13	fed	hot	fed_hot
E11	E	11	unfed	hot	unfed_hot
G6	G	6	fed	hot	fed_hot
N2	N	2	unfed	hot	unfed_hot
