Oarb_88561_c0_g1_i1	Oarb_88561_c0_g1
Oarb_79353_c0_g1_i1	Oarb_79353_c0_g1
Oarb_79353_c0_g1_i2	Oarb_79353_c0_g1
Oarb_79452_c0_g1_i1	Oarb_79452_c0_g1
Oarb_96786_c0_g1_i1	Oarb_96786_c0_g1
Oarb_96791_c0_g1_i2	Oarb_96791_c0_g1
Oarb_96751_c0_g2_i1	Oarb_96751_c0_g2
Oarb_96751_c0_g2_i3	Oarb_96751_c0_g2
Oarb_96751_c0_g2_i2	Oarb_96751_c0_g2
Oarb_96751_c0_g2_i5	Oarb_96751_c0_g2
Oarb_96793_c0_g1_i1	Oarb_96793_c0_g1
Oarb_96800_c0_g1_i1	Oarb_96800_c0_g1
Oarb_96776_c0_g1_i1	Oarb_96776_c0_g1
Oarb_96760_c0_g1_i4	Oarb_96760_c0_g1
Oarb_96760_c0_g1_i1	Oarb_96760_c0_g1
Oarb_96760_c0_g1_i2	Oarb_96760_c0_g1
Oarb_96750_c2_g1_i3	Oarb_96750_c2_g1
Oarb_96750_c2_g1_i1	Oarb_96750_c2_g1
Oarb_96794_c0_g1_i1	Oarb_96794_c0_g1
Oarb_96814_c1_g2_i4	Oarb_96814_c1_g2
Oarb_96811_c0_g1_i2	Oarb_96811_c0_g1
Oarb_96740_c0_g1_i1	Oarb_96740_c0_g1
Oarb_96781_c1_g1_i1	Oarb_96781_c1_g1
Oarb_96781_c1_g1_i3	Oarb_96781_c1_g1
Oarb_96781_c1_g1_i2	Oarb_96781_c1_g1
Oarb_80348_c0_g1_i1	Oarb_80348_c0_g1
Oarb_80335_c0_g1_i2	Oarb_80335_c0_g1
Oarb_80346_c0_g1_i1	Oarb_80346_c0_g1
Oarb_71278_c0_g1_i1	Oarb_71278_c0_g1
Oarb_19707_c0_g1_i1	Oarb_19707_c0_g1
Oarb_87743_c0_g1_i2	Oarb_87743_c0_g1
Oarb_87724_c0_g1_i1	Oarb_87724_c0_g1
Oarb_87753_c0_g1_i1	Oarb_87753_c0_g1
Oarb_78547_c0_g1_i1	Oarb_78547_c0_g1
Oarb_96021_c0_g1_i1	Oarb_96021_c0_g1
Oarb_96026_c1_g1_i2	Oarb_96026_c1_g1
Oarb_96020_c0_g1_i1	Oarb_96020_c0_g1
Oarb_95989_c0_g1_i1	Oarb_95989_c0_g1
Oarb_95966_c0_g1_i2	Oarb_95966_c0_g1
Oarb_95983_c0_g1_i1	Oarb_95983_c0_g1
Oarb_95983_c0_g1_i2	Oarb_95983_c0_g1
Oarb_96025_c0_g1_i2	Oarb_96025_c0_g1
Oarb_96019_c0_g1_i1	Oarb_96019_c0_g1
