coral_id	wavelength	rep1	rep2	rep3
I5	a663	1.226	1.326	1.519
I5	a630	0.427	0.463	0.535
G3	a663	0.309	0.369	0.391
G3	a630	0.107	0.13	0.142
E3	a663	0.968	1.238	1.212
E3	a630	0.35	0.442	0.434
D17	a663	0.309	0.438	0.536
D17	a630	0.182	0.287	0.386
B2	a663	0.065	0.084	0.091
B2	a630	0.014	0.023	0.025
I9	a663	0.507	0.63	0.648
I9	a630	0.162	0.202	0.208
E8	a663	0.136	0.16	0.168
E8	a630	0.03	0.038	0.04
G6	a663	0.222	0.27	0.279
G6	a630	0.068	0.086	0.094
C1	a663	0.048	0.058	0.064
C1	a630	0.001	0.004	0.009
E11	a663	0.09	0.112	0.127
E11	a630	0.017	0.023	0.035
Q1	a663	0.297	0.365	0.379
Q1	a630	0.09	0.114	0.122
R2	a663	0.254	0.301	0.315
R2	a630	0.079	0.096	0.102
N14	a663	0.556	0.627	0.64
N14	a630	0.184	0.209	0.215
N3	a663	2.426	2.754	2.704
N3	a630	0.859	1.026	0.998
L3	a663	0.719	0.859	NA
L3	a630	0.247	0.297	NA
Q5	a663	0.062	0.063	0.061
Q5	a630	0.01	0.006	0.007
L4	a663	0.6	0.718	0.741
L4	a630	0.197	0.234	0.247
J9	a663	0.129	0.159	0.167
J9	a630	0.035	0.045	0.049
C4	a663	0.695	0.868	0.892
C4	a630	0.229	0.29	0.297
R3	a663	0.228	0.283	0.291
R3	a630	0.071	0.092	0.099
M7	a663	0.255	0.314	0.321
M7	a630	0.072	0.089	0.091
O3	a663	NA	2.057	2.094
O3	a630	NA	0.742	0.757
N4	a663	NA	1.829	2.031
N4	a630	NA	0.707	0.858
J15	a663	NA	1.703	NA
J15	a630	NA	0.617	NA
G1	a663	NA	2.069	2.09
G1	a630	NA	0.679	0.697
B8	a663	0.668	0.816	NA
B8	a630	0.243	0.283	NA
O11	a663	0.047	0.057	0.057
O11	a630	0.008	0.006	0.009
L5	a663	0.149	0.179	0.187
L5	a630	0.048	0.062	0.068
O5	a663	0.139	0.173	0.174
O5	a630	0.042	0.056	0.066
G2	a663	NA	1.89	1.903
G2	a630	NA	0.644	0.654
B1	a663	NA	1.827	1.895
B1	a630	NA	0.672	0.802
M5	a663	0.432	0.59	NA
M5	a630	0.159	0.201	NA
D4	a663	0.202	0.255	NA
D4	a630	0.065	0.092	NA
A9	a663	0.327	0.377	0.376
A9	a630	0.1	0.114	0.114
D15	a663	0.229	0.284	0.289
D15	a630	0.086	0.111	0.115
D9	a663	0.465	0.557	0.728
D9	a630	0.161	0.194	0.346
J13	a663	NA	2.001	NA
J13	a630	NA	0.784	NA
I6	a663	1.05	1.107	NA
I6	a630	0.519	0.467	NA
R7	a663	0.122	0.146	0.154
R7	a630	0.033	0.041	0.053
B5	a663	0.454	0.55	NA
B5	a630	0.185	0.226	NA
R11	a663	0.27	0.346	0.364
R11	a630	0.082	0.11	0.143
J6	a663	0.404	0.511	0.519
J6	a630	0.139	0.184	0.184
C2	a663	1.054	1.292	1.293
C2	a630	0.387	0.48	0.481
Q6	a663	NA	0.249	NA
Q6	a630	NA	0.24	NA
N2	a663	NA	NA	NA
N2	a630	NA	NA	NA
Q10	a663	0.915	1.034	1.029
Q10	a630	0.332	0.361	0.375
M4	a663	1.132	1.156	1.184
M4	a630	0.8	0.731	0.752
A6	a663	NA	NA	NA
A6	a630	NA	NA	NA
L6	a663	0.298	0.382	0.431
L6	a630	0.146	0.203	0.245
