coral_id	rawcarbhost_1	rawcarbhost_2	rawcarbhost_3	rawcarbsym_1	rawcarbsym_2	rawcarbsym_3	carb_host_plateID	carb_sym_plateID
A6	0.095	0.098	0.094	0.064	0.104	0.069	P2_19H	P5_21S
A9	0.319	NA	0.363	0.141	0.141	0.139	P3_19H	P4_21HS
B1	NA	0.211	0.196	0.295	0.267	0.251	P1_19H	P7_21S
B2	0.241	0.283	0.255	0.174	0.148	0.118	P3_19H	P6_21S
B5	0.201	0.193	NA	0.135	0.129	0.143	P2_19H	P5_21S
B8	0.196	0.212	0.209	0.147	0.182	0.171	P2_19H	P6_21S
C1	0.16	0.167	0.137	0.064	0.065	0.068	P1_19H	P6_21S
C2	0.279	0.306	0.289	0.192	0.162	0.173	P1_19H	P4_21HS
C4	0.175	0.167	0.157	0.161	0.136	0.163	P1_19H	P6_21S
D4	0.203	0.188	0.196	0.125	0.129	0.131	P2_19H	P6_21S
D9	0.255	0.247	0.247	0.244	0.245	0.293	P2_19H	P5_21S
D15	0.214	0.219	0.231	0.096	0.103	0.094	P2_19H	P6_21S
D17	0.155	0.202	0.161	0.126	0.128	0.139	P2_19H	P5_21S
E3	0.21	0.241	0.211	0.28	NA	0.247	P2_19H	P4_21HS
E8	0.205	0.18	0.181	0.089	0.066	0.064	P2_19H	P6_21S
E11	0.22	0.203	NA	0.084	0.077	0.076	P2_19H	P6_21S
G1	0.353	0.336	0.356	0.303	0.275	0.268	P1_19H	P4_21HS
G2	0.31	NA	0.304	0.534	0.605	NA	P3_19H	P4_21HS
G3	0.234	0.186	0.186	0.155	0.137	0.134	P3_19H	P5_21S
G6	NA	0.16	0.167	0.09	0.09	0.128	P1_19H	P6_21S
I5	0.2	NA	0.242	0.293	0.272	0.296	P2_19H	P5_21S
I6	0.201	0.171	0.177	0.114	0.142	0.11	P2_19H	P5_21S
I9	0.167	0.158	0.189	NA	0.143	0.13	P3_19H	P6_21S
J6	0.374	0.405	0.373	0.281	0.287	0.324	P2_19H	P5_21S
J9	0.195	0.22	NA	0.078	0.07	0.076	P3_19H	P6_21S
J13	NA	0.454	0.503	0.138	0.154	0.145	P4_21HS	P4_21HS
J15	NA	0.482	0.475	0.247	0.286	0.247	P3_19H	P6_21S
L3	0.481	0.483	NA	0.325	0.351	NA	P3_19H	P5_21S
L4	0.445	0.421	0.462	0.144	0.121	0.131	P3_19H	P5_21S
L5	0.239	0.269	0.258	0.116	0.124	0.118	P4_21HS	P5_21S
L6	NA	0.246	0.228	0.129	0.118	0.101	P1_19H	P7_21S
M1	0.174	0.154	NA	0.062	0.11	0.065	P1_19H	P6_21S
M4	0.291	0.289	0.258	0.205	0.224	0.192	P1_19H	P6_21S
M5	0.313	0.351	NA	0.357	0.342	0.321	P3_19H	P4_21HS
M7	0.312	0.3	0.281	0.108	0.094	0.088	P1_19H	P6_21S
N2	NA	0.189	0.185	NA	0.556	0.425	P1_19H	P7_21S
N3	0.283	0.294	NA	NA	0.297	0.296	P3_19H	P5_21S
N4	NA	0.449	0.414	0.129	0.12	0.109	P1_19H	P6_21S
N14	0.177	0.22	0.209	NA	0.155	0.173	P2_19H	P5_21S
O3	0.432	0.432	0.394	0.307	0.24	0.236	P3_19H	P5_21S
O5	0.297	0.317	0.302	0.098	0.098	0.099	P3_19H	P4_21HS
O11	0.116	0.13	0.135	NA	0.075	0.082	P1_19H	P7_21S
Q1	0.175	0.154	0.166	0.124	0.107	0.113	P2_19H	P5_21S
Q5	0.075	0.097	0.097	0.075	NA	0.071	P2_19H	P4_21HS
Q6	0.118	NA	0.13	0.087	NA	0.086	P3_19H	P4_21HS
Q10	0.171	0.177	0.194	NA	0.204	0.18	P3_19H	P5_21S
R2	0.163	NA	0.192	0.106	0.103	0.105	P1_19H	P7_21S
R3	0.112	0.127	0.118	0.099	0.1	0.086	P1_19H	P6_21S
R7	0.278	0.248	0.234	0.25	NA	0.28	P4_21HS	P4_21HS
R11	0.383	NA	0.406	0.202	0.223	NA	P1_19H	P4_21HS
