coral_id	host_prot1	host_prot2	host_prot3	prot_host_plateID	sym_prot1	sym_prot2	sym_prot3	prot_sym_plateID	
A6	0.227	0.207	0.22	P11_06HS	0.221	0.21	0.205	P11_06HS	
A9	0.416	0.42	0.421	P10_19H	0.28	0.278	0.271	P10_26S	
B1	0.406	0.451	0.437	P10_19H	0.379	0.378	0.376	P10_19S	
B2	0.522	0.517	0.519	P10_16H	0.376	0.353	0.324	P10_26S	
B5	0.4	0.415	0.46	P10_19H	0.293	0.295	0.329	P10_26S	
B8	0.317	0.314	0.325	P11_06HS	0.228	0.225	0.223	P11_06HS	
C1	0.342	0.38	0.376	P10_19H	0.266	0.25	0.257	P10_26S	
C2	0.408	0.415	0.419	P10_19H	0.352	0.353	0.361	P10_26S2	
C4	0.388	0.407	0.408	P10_19H	0.368	0.37	0.355	P10_19S	
D15	0.444	0.415	0.453	P10_16H	0.377	0.354	0.344	P10_19S	
D17	0.438	0.443	0.467	P10_16H	0.265	0.239	0.262	P10_26S	
D4	0.409	0.399	0.469	P10_19H	0.366	0.292	0.315	P10_26S	
D9	0.492	0.493	0.511	P10_16H	0.321	0.32	0.321	P10_26S	
E11	0.449	0.453	0.466	P10_19H	0.267	0.301	0.288	P10_26S	
E3	0.492	0.46	0.485	P10_16H	0.342	0.336	0.339	P10_26S	
E8	0.24	0.236	0.236	P11_06HS	0.314	0.301	0.302	P11_06HS	
G1	0.485	0.495	0.513	P10_19H	0.404	0.404	0.408	P10_26S2	
G2	0.49	0.501	0.499	P10_16H	0.44	0.417	0.414	P10_19S	
G3	0.473	0.456	0.477	P10_16H	0.374	0.334	0.33	P10_19S	
G6	0.425	0.398	0.408	P10_19H	0.326	0.333	0.337	P10_19S	
I5	0.456	0.464	0.493	P10_16H	0.351	0.328	0.296	P10_26S	
I6	0.438	0.437	0.444	P10_16H	0.292	0.256	0.297	P10_26S	
I9	0.469	0.463	0.46	P10_16H	0.375	0.377	0.36	P10_19S	
J13	0.515	0.51	0.502	P10_19S	0.299	0.284	0.302	P10_26S	
J15	0.343	0.383	0.288	P11_06HS	0.211	0.218	0.207	P11_06HS	
J6	0.505	0.510	0.502	P10_16H	0.32	0.35	0.329	P10_26S	
J9	0.414	0.413	0.423	P10_16H	0.263	0.271	0.271	P10_26S	
L3	0.571	0.603	0.526	P10_16H	0.426	0.363	0.361	P10_19S	
L4	0.462	0.523	0.523	P10_16H	0.371	0.339	0.329	P10_19S	
L5	0.414	0.417	0.406	P10_19S	0.283	0.321	0.328	P10_26S	
L6	0.377	0.393	0.395	P10_19H	0.341	0.324	0.334	P10_19S	
M1	0.379	0.373	0.374	P10_19H	0.315	0.374	0.337	P10_19S	
M4	0.377	0.394	0.397	P10_19H	0.404	0.36	0.347	P10_19S	
M5	0.561	0.552	0.529	P10_16H	0.367	0.346	0.343	P10_19S	
M7	0.459	0.435	0.489	P10_19H	0.284	0.271	0.312	P10_26S	
N14	0.498	0.505	0.497	P10_16H	0.38	0.395	0.373	P10_26S2	
N2	0.273	0.273	0.277	P11_06HS	0.341	0.229	0.243	P11_06HS	
N3	0.57	0.546	0.553	P10_16H	0.429	0.429	0.419	P10_19S	
N4	0.496	0.479	0.539	P10_19H	0.305	0.335	0.287	P10_26S	
O11	0.391	0.37	0.38	P10_19H	0.346	0.315	0.325	P10_19S	
O3	0.558	0.55	0.542	P10_16H	0.468	0.501	0.402	P10_19S	
O5	0.393	0.393	0.406	P10_19H	0.26	0.24	0.278	P10_26S	
Q1	0.455	0.448	0.42	P10_16H	0.323	0.328	0.31	P10_26S	
Q10	0.421	0.415	0.405	P10_16H	0.398	0.433	0.345	P10_19S	
Q5	0.219	0.222	0.225	P11_06HS	NA	NA	NA	P11_06HS	
Q6	0.38	0.37	0.36	P10_19H	0.282	0.261	0.251	P10_26S	
R11	0.468	0.513	0.523	P10_19H	0.352	0.359	0.356	P10_26S2	
R2	0.361	0.365	0.384	P10_19H	0.329	0.317	0.341	P10_19S	
R3	0.242	0.239	0.237	P11_06HS	0.245	0.221	0.236	P11_06HS	
R7	0.318	0.32	0.311	P11_06HS	0.291	0.274	0.281	P11_06HS	
									
