Oarb_151522_c3_g3	Bifunctional polynucleotide phosphatase/kinase.Homo sapiens 
Oarb_116771_c1_g4	MAM and LDL-receptor class A domain-containing protein 2 (Fragment).Acropora millepora 
Oarb_134440_c2_g1	Gametocyte-specific factor 1.Macaca fascicularis 
Oarb_148242_c4_g2	Cilia- and flagella-associated protein 299.Xenopus laevis 
Oarb_144326_c2_g2	Arylsulfatase J.Homo sapiens 
Oarb_149168_c2_g3	Telomerase reverse transcriptase.Arabidopsis thaliana 
Oarb_126200_c0_g2	Exosome complex component RRP41.Bos taurus 
Oarb_101453_c0_g1	Transforming protein RhoA.Pongo abelii 
Oarb_126867_c5_g2	Tetratricopeptide repeat protein 17.Homo sapiens 
Oarb_148043_c1_g1	N-terminal kinase-like protein.Xenopus tropicalis 
Oarb_149148_c0_g2	Myotubularin-related protein 9.Mus musculus 
Oarb_143064_c3_g3	Ubiquitin carboxyl-terminal hydrolase 19.Arabidopsis thaliana 
Oarb_102476_c0_g1	Kelch-like protein 28.Homo sapiens 
Oarb_129614_c7_g1	Transmembrane protein 98.Bos taurus 
Oarb_125226_c2_g1	Tetratricopeptide repeat protein 4.Bos taurus 
Oarb_134168_c1_g1	Serine/threonine-protein kinase Nek6.Mus musculus 
Oarb_151884_c2_g2	Syntaxin-binding protein 5-like.Danio rerio 
Oarb_146472_c0_g1	1-acylglycerol-3-phosphate O-acyltransferase ABHD5.Rattus norvegicus 
Oarb_109846_c6_g1	Prostaglandin E2 receptor EP3 subtype.Mus musculus 
Oarb_141111_c4_g1	Down syndrome critical region protein 3.Homo sapiens 
Oarb_146328_c3_g1	Methyltransferase-like protein 7B.Homo sapiens 
Oarb_143661_c3_g1	Thioredoxin-related transmembrane protein 1.Bos taurus 
Oarb_154436_c3_g1	Sterile alpha motif domain-containing protein 9-like.Homo sapiens 
Oarb_147883_c7_g3	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D.Homo sapiens 
Oarb_104590_c4_g5	Nuclear valosin-containing protein-like.Mus musculus 
Oarb_104950_c1_g2	Actin-binding protein IPP.Mus musculus 
Oarb_126971_c3_g2	Putative lipase ATG15.Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) 
Oarb_151129_c2_g1	Probable phospholipid-transporting ATPase IH.Homo sapiens 
Oarb_152507_c6_g1	Endo-1,4-beta-xylanase 3.Arabidopsis thaliana 
Oarb_141366_c3_g2	Ephrin type-B receptor 1-B (Fragment).Xenopus laevis 
Oarb_151101_c3_g1	Metalloendopeptidase OMA1, mitochondrial.Rattus norvegicus 
Oarb_151712_c2_g2	Leucine-rich repeat-containing protein 28.Mus musculus 
Oarb_101834_c6_g2	Anion exchange protein 2.Oryctolagus cuniculus 
Oarb_132250_c6_g1	Kinesin-like protein KIF27.Rattus norvegicus 
Oarb_150875_c2_g2	DNA repair protein XRCC4.Mus musculus 
Oarb_126237_c0_g2	Mucin-like protein (Fragment).Acropora millepora 
Oarb_147485_c4_g1	TNF receptor-associated factor 5.Mus musculus 
Oarb_137880_c2_g1	Transient receptor potential cation channel subfamily V member 5.Oryctolagus cuniculus 
Oarb_144911_c1_g2	Cytosolic beta-glucosidase.Pongo abelii 
Oarb_135275_c1_g2	Probable RNA-directed DNA polymerase from transposon BS.Drosophila melanogaster 
Oarb_127820_c4_g1	Cyclin-dependent kinase-like 1.Caenorhabditis elegans 
