Oarb_151522_c3_g3	Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens OX=9606 GN=PNKP PE=1 SV=1 E(blastx)=2e-94
Oarb_116771_c1_g4	MAM and LDL-receptor class A domain-containing protein 2 (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=2e-31
Oarb_134440_c2_g1	Gametocyte-specific factor 1 OS=Macaca fascicularis OX=9541 GN=GTSF1 PE=2 SV=1 E(blastx)=2e-11
Oarb_148242_c4_g2	Cilia- and flagella-associated protein 299 OS=Xenopus laevis OX=8355 GN=cfap299 PE=2 SV=1 E(blastx)=3e-95
Oarb_144326_c2_g2	Arylsulfatase J OS=Homo sapiens OX=9606 GN=ARSJ PE=2 SV=1 E(blastx)=2e-63
Oarb_126200_c0_g2	Exosome complex component RRP41 OS=Bos taurus OX=9913 GN=EXOSC4 PE=2 SV=3 E(blastx)=5e-69
Oarb_101453_c0_g1	Transforming protein RhoA OS=Pongo abelii OX=9601 GN=RHOA PE=2 SV=2 E(blastx)=4e-137
Oarb_126867_c5_g2	Tetratricopeptide repeat protein 17 OS=Homo sapiens OX=9606 GN=TTC17 PE=1 SV=1 E(blastx)=3e-13
Oarb_148043_c1_g1	N-terminal kinase-like protein OS=Xenopus tropicalis OX=8364 GN=scyl1 PE=2 SV=1 E(blastx)=3e-89
Oarb_149148_c0_g2	Myotubularin-related protein 9 OS=Mus musculus OX=10090 GN=Mtmr9 PE=1 SV=2 E(blastx)=9e-36
Oarb_102476_c0_g1	Kelch-like protein 28 OS=Homo sapiens OX=9606 GN=KLHL28 PE=2 SV=2 E(blastx)=5e-30
Oarb_129614_c7_g1	Transmembrane protein 98 OS=Bos taurus OX=9913 GN=TMEM98 PE=2 SV=1 E(blastx)=5e-26
Oarb_125226_c2_g1	Tetratricopeptide repeat protein 4 OS=Bos taurus OX=9913 GN=TTC4 PE=2 SV=2 E(blastx)=1e-26
Oarb_134168_c1_g1	Serine/threonine-protein kinase Nek6 OS=Mus musculus OX=10090 GN=Nek6 PE=1 SV=1 E(blastx)=1e-20
Oarb_151884_c2_g2	Syntaxin-binding protein 5-like OS=Danio rerio OX=7955 GN=stxbp5l PE=3 SV=1 E(blastx)=3e-31
Oarb_146472_c0_g1	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Rattus norvegicus OX=10116 GN=Abhd5 PE=1 SV=1 E(blastx)=6e-30
Oarb_109846_c6_g1	Prostaglandin E2 receptor EP3 subtype OS=Mus musculus OX=10090 GN=Ptger3 PE=1 SV=1 E(blastx)=7e-14
Oarb_141111_c4_g1	Down syndrome critical region protein 3 OS=Homo sapiens OX=9606 GN=DSCR3 PE=2 SV=1 E(blastx)=4e-99
Oarb_146328_c3_g1	Methyltransferase-like protein 7B OS=Homo sapiens OX=9606 GN=METTL7B PE=1 SV=2 E(blastx)=2e-18
Oarb_143661_c3_g1	Thioredoxin-related transmembrane protein 1 OS=Bos taurus OX=9913 GN=TMX1 PE=2 SV=1 E(blastx)=3e-50
Oarb_154436_c3_g1	Sterile alpha motif domain-containing protein 9-like OS=Homo sapiens OX=9606 GN=SAMD9L PE=1 SV=2 E(blastx)=5e-12
Oarb_147883_c7_g3	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens OX=9606 GN=NAPEPLD PE=1 SV=2 E(blastx)=2e-74
Oarb_104590_c4_g5	Nuclear valosin-containing protein-like OS=Mus musculus OX=10090 GN=Nvl PE=1 SV=1 E(blastx)=3e-34
Oarb_104950_c1_g2	Actin-binding protein IPP OS=Mus musculus OX=10090 GN=Ipp PE=2 SV=3 E(blastx)=1e-20
Oarb_126971_c3_g2	Putative lipase ATG15 OS=Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056) OX=284811 GN=ATG15 PE=3 SV=1 E(blastx)=8e-05
Oarb_151129_c2_g1	Probable phospholipid-transporting ATPase IH OS=Homo sapiens OX=9606 GN=ATP11A PE=1 SV=3 E(blastx)=2e-90
Oarb_141366_c3_g2	Ephrin type-B receptor 1-B (Fragment) OS=Xenopus laevis OX=8355 GN=ephb1-b PE=1 SV=1 E(blastx)=6e-139
Oarb_151101_c3_g1	Metalloendopeptidase OMA1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Oma1 PE=3 SV=1 E(blastx)=1e-77
Oarb_151712_c2_g2	Leucine-rich repeat-containing protein 28 OS=Mus musculus OX=10090 GN=Lrrc28 PE=2 SV=1 E(blastx)=3e-39
Oarb_101834_c6_g2	Anion exchange protein 2 OS=Oryctolagus cuniculus OX=9986 GN=SLC4A2 PE=2 SV=1 E(blastx)=1e-61
Oarb_132250_c6_g1	Kinesin-like protein KIF27 OS=Rattus norvegicus OX=10116 GN=Kif27 PE=1 SV=1 E(blastx)=9e-37
Oarb_150875_c2_g2	DNA repair protein XRCC4 OS=Mus musculus OX=10090 GN=Xrcc4 PE=1 SV=1 E(blastx)=4e-07
Oarb_126237_c0_g2	Mucin-like protein (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=1e-15
Oarb_147485_c4_g1	TNF receptor-associated factor 5 OS=Mus musculus OX=10090 GN=Traf5 PE=1 SV=1 E(blastx)=7e-32
Oarb_137880_c2_g1	Transient receptor potential cation channel subfamily V member 5 OS=Oryctolagus cuniculus OX=9986 GN=Trpv5 PE=1 SV=1 E(blastx)=4e-26
Oarb_144911_c1_g2	Cytosolic beta-glucosidase OS=Pongo abelii OX=9601 GN=GBA3 PE=2 SV=1 E(blastx)=5e-160
Oarb_135275_c1_g2	Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1 E(blastx)=6e-06
Oarb_127820_c4_g1	Cyclin-dependent kinase-like 1 OS=Caenorhabditis elegans OX=6239 GN=cdkl-1 PE=1 SV=1 E(blastx)=4e-13
Oarb_147151_c1_g2	Bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7 OS=Mus musculus OX=10090 GN=Jmjd7 PE=1 SV=1 E(blastx)=7e-07
Oarb_141394_c6_g1	Putative tyramine receptor 2 OS=Locusta migratoria OX=7004 GN=GCR2 PE=2 SV=1 E(blastx)=2e-09
Oarb_115957_c4_g3	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Xenopus tropicalis OX=8364 GN=sdha PE=2 SV=1 E(blastx)=2e-73
Oarb_153287_c3_g2	WD repeat-containing protein 78 OS=Homo sapiens OX=9606 GN=WDR78 PE=2 SV=1 E(blastx)=1e-153
Oarb_137619_c0_g1	E3 ubiquitin-protein ligase RNF38 OS=Mus musculus OX=10090 GN=Rnf38 PE=2 SV=1 E(blastx)=8e-26
Oarb_135377_c2_g1	Melatonin receptor type 1A OS=Mus musculus OX=10090 GN=Mtnr1a PE=2 SV=1 E(blastx)=1e-30
Oarb_148060_c2_g2	Tudor domain-containing protein 7 OS=Bos taurus OX=9913 GN=TDRD7 PE=2 SV=1 E(blastx)=4e-13
Oarb_148957_c3_g1	Probable cytochrome P450 CYP44 OS=Caenorhabditis elegans OX=6239 GN=cyp-44A1 PE=3 SV=2 E(blastx)=8e-20
Oarb_140474_c0_g1	Telomerase reverse transcriptase OS=Homo sapiens OX=9606 GN=TERT PE=1 SV=1 E(blastx)=9e-51
Oarb_113132_c6_g1	Dual specificity protein phosphatase 12 OS=Rattus norvegicus OX=10116 GN=Dusp12 PE=1 SV=1 E(blastx)=3e-13
Oarb_151568_c5_g3	Armadillo repeat-containing protein 4 OS=Mus musculus OX=10090 GN=Armc4 PE=1 SV=1 E(blastx)=1e-74
Oarb_152724_c5_g1	E3 ubiquitin-protein ligase MARCH6 OS=Pongo abelii OX=9601 GN=MARCH6 PE=2 SV=1 E(blastx)=1e-176
Oarb_151498_c5_g1	2-oxoglutarate-dependent dioxygenase htyE OS=Aspergillus rugulosus OX=41736 GN=htyE PE=1 SV=1 E(blastx)=5e-32
Oarb_131561_c0_g3	Cadherin EGF LAG seven-pass G-type receptor 2 OS=Mus musculus OX=10090 GN=Celsr2 PE=1 SV=2 E(blastx)=2e-24
Oarb_152407_c0_g1	Erlin-2 OS=Rattus norvegicus OX=10116 GN=Erlin2 PE=1 SV=1 E(blastx)=2e-78
Oarb_150289_c5_g2	F-box/WD repeat-containing protein 7 OS=Rattus norvegicus OX=10116 GN=Fbxw7 PE=1 SV=2 E(blastx)=7e-145
Oarb_153079_c4_g1	Multivesicular body subunit 12B OS=Mus musculus OX=10090 GN=Mvb12b PE=1 SV=2 E(blastx)=8e-20
Oarb_152434_c9_g2	Dystrophin OS=Homo sapiens OX=9606 GN=DMD PE=1 SV=3 E(blastx)=9e-82
Oarb_98837_c0_g1	Cadherin-23 OS=Rattus norvegicus OX=10116 GN=Cdh23 PE=2 SV=1 E(blastx)=8e-51
Oarb_150177_c4_g3	Putative deoxyribonuclease TATDN3 OS=Homo sapiens OX=9606 GN=TATDN3 PE=1 SV=1 E(blastx)=6e-53
Oarb_152862_c2_g2	Flavin reductase (NADPH) OS=Homo sapiens OX=9606 GN=BLVRB PE=1 SV=3 E(blastx)=1e-09
